iter	Passed	Remaining
418	721	1000
419	722	998
420	724	997
421	726	995
422	728	994
423	730	992
424	731	990
425	733	987
426	734	985
427	735	983
428	737	982
429	739	980
430	741	979
431	743	978
432	745	975
433	746	973
434	747	970
435	749	969
436	751	967
437	752	965
438	754	964
439	756	962
440	757	960
441	758	957
442	759	955
443	761	953
444	763	952
445	765	950
446	767	949
447	768	947
448	770	945
449	771	942
450	772	940
451	774	939
452	776	937
453	778	936
454	780	934
455	781	932
456	782	930
457	783	927
458	785	925
459	786	923
460	788	922
461	790	920
462	792	919
463	793	917
464	795	914
465	796	912
466	797	910
467	799	909
468	801	907
469	803	906
470	805	904
471	806	902
472	807	899
473	808	897
474	810	896
475	812	894
476	814	892
477	816	891
478	818	889
479	819	887
480	820	885
481	821	883
482	823	881
483	825	880
484	827	878
485	829	877
486	830	875
487	832	873
488	833	870
489	835	869
490	836	867
491	838	866
492	840	864
493	842	863
494	844	861
495	845	858
496	846	856
497	849	856
498	851	854
499	853	853
500	854	851
501	855	849
502	857	846
503	858	844
504	859	842
505	861	841
506	863	839
507	865	838
508	867	836
509	868	834
510	869	832
511	870	829
512	873	829
513	875	827
514	877	826
515	878	824
516	880	822
517	881	820
518	882	818
519	883	815
520	885	814
521	887	812
522	889	811
523	891	809
524	892	807
525	893	805
526	894	803
527	896	801
528	898	799
529	900	798
530	902	797
531	904	795
532	905	793
533	906	791
534	907	789
535	909	787
536	911	785
537	913	784
538	915	783
539	917	781
540	919	779
541	920	777
542	922	776
543	924	774
544	926	773
545	927	771
546	929	769
547	930	767
548	931	765
549	932	763
550	934	761
551	936	760
552	938	758
553	940	757
554	942	755
555	943	753
556	944	751
557	946	749
558	948	748
559	950	746
560	951	744
561	953	743
562	954	741
563	955	738
564	956	736
565	958	734
566	960	733
567	962	731
568	964	730
569	965	728
570	967	726
571	968	724
572	969	722
573	971	721
574	973	719
575	975	718
576	977	716
577	978	714
578	980	712
579	981	710
580	983	709
581	985	707
582	987	706
583	989	704
584	991	703
585	992	701
586	993	698
587	994	696
588	996	695
589	998	693
590	1000	692
591	1002	690
592	1003	688
593	1004	686
594	1005	684
595	1006	682
596	1008	680
597	1010	679
598	1012	677
599	1014	676
600	1015	674
601	1016	672
602	1017	670
603	1019	668
604	1020	666
605	1023	665
606	1025	663
607	1026	662
608	1028	660
609	1029	658
610	1030	656
611	1031	654
612	1034	652
613	1035	651
614	1037	649
615	1039	648
616	1041	646
617	1042	644
618	1044	643
619	1046	641
620	1047	639
621	1049	637
622	1050	635
623	1052	633
624	1053	631
625	1054	629
626	1055	627
627	1056	626
628	1058	624
629	1060	623
630	1062	621
631	1064	619
632	1065	617
633	1066	615
634	1068	613
635	1070	612
636	1072	610
637	1073	609
638	1075	607
639	1077	605
640	1078	603
641	1079	601
642	1080	600
643	1082	598
644	1084	597
645	1086	595
646	1088	594
647	1089	592
648	1090	590
649	1092	588
650	1093	586
651	1095	584
652	1097	582
653	1099	581
654	1101	579
655	1102	578
656	1103	576
657	1104	574
658	1106	572
659	1108	570
660	1109	569
661	1112	567
662	1113	566
663	1115	564
664	1116	562
665	1118	560
666	1120	559
667	1122	557
668	1123	556
669	1125	554
670	1127	552
671	1128	550
672	1129	548
673	1131	547
674	1133	545
675	1135	544
676	1140	544
677	1142	542
678	1144	541
679	1147	539
680	1149	538
681	1150	536
682	1152	534
683	1155	533
684	1157	532
685	1160	531
686	1163	530
687	1165	528
688	1167	526
689	1169	525
690	1171	523
691	1172	521
692	1174	520
693	1175	518
694	1176	516
695	1179	515
696	1181	513
697	1183	512
698	1186	510
699	1187	509
700	1189	507
701	1190	505
702	1192	503
703	1194	502
704	1196	500
705	1197	498
706	1199	496
707	1200	495
708	1201	493
709	1203	491
710	1205	490
711	1207	488
712	1209	486
713	1211	485
714	1212	483
715	1214	481
716	1216	480
717	1218	478
718	1220	477
719	1222	475
720	1223	473
721	1224	471
722	1226	469
723	1227	467
724	1229	466
725	1231	464
726	1233	463
727	1235	461
728	1236	459
729	1237	457
730	1239	456
731	1241	454
732	1243	452
733	1245	451
734	1247	449
735	1248	447
736	1249	446
737	1252	444
738	1254	443
739	1256	441
740	1258	439
741	1260	438
742	1261	436
743	1264	435
744	1267	433
745	1269	432
746	1271	430
747	1273	428
748	1275	427
749	1277	425
750	1279	424
751	1281	422
752	1283	420
753	1285	419
754	1286	417
755	1287	415
756	1289	413
757	1290	412
758	1292	410
759	1294	408
760	1295	406
761	1296	404
762	1297	403
763	1298	401
764	1300	399
765	1302	397
766	1304	396
767	1307	394
768	1308	392
769	1309	391
770	1310	389
771	1311	387
772	1313	385
773	1316	384
774	1318	382
775	1319	380
776	1320	379
777	1321	377
778	1322	375
779	1324	373
780	1326	372
781	1328	370
782	1330	368
783	1332	367
784	1333	365
785	1334	363
786	1336	361
787	1338	359
788	1343	359
789	1345	357
790	1347	356
791	1348	354
792	1351	352
793	1352	350
794	1354	349
795	1356	347
796	1358	345
797	1359	344
798	1360	342
799	1362	340
800	1365	339
801	1367	337
802	1369	335
803	1370	334
804	1371	332
805	1372	330
806	1374	328
807	1376	327
808	1378	325
809	1380	323
810	1382	322
811	1383	320
812	1384	318
813	1385	316
814	1387	314
815	1389	313
816	1391	311
817	1393	309
818	1394	308
819	1395	306
820	1396	304
821	1397	302
822	1399	301
823	1401	299
824	1403	297
825	1405	296
826	1407	294
827	1408	292
828	1409	290
829	1412	289
830	1413	287
831	1415	285
832	1417	284
833	1418	282
834	1419	280
835	1420	278
836	1421	276
837	1423	275
838	1425	273
839	1427	271
840	1429	270
841	1431	268
842	1432	266
843	1433	264
844	1434	263
845	1436	261
846	1439	259
847	1440	258
848	1442	256
849	1444	254
850	1445	253
851	1446	251
852	1448	249
853	1451	248
854	1453	246
855	1454	244
856	1456	243
857	1457	241
858	1459	239
859	1461	237
860	1463	236
861	1464	234
862	1466	232
863	1467	231
864	1468	229
865	1469	227
866	1470	225
867	1473	224
868	1475	222
869	1477	220
870	1479	219
871	1480	217
872	1481	215
873	1482	213
874	1484	212
875	1486	210
876	1488	208
877	1490	207
878	1492	205
879	1493	203
880	1494	201
881	1497	200
882	1499	198
883	1501	197
884	1504	195
885	1505	193
886	1506	191
887	1508	190
888	1510	188
889	1512	186
890	1514	185
891	1516	183
892	1517	181
893	1518	180
894	1519	178
895	1521	176
896	1523	174
897	1525	173
898	1527	171
899	1528	169
900	1529	168
901	1531	166
902	1533	164
903	1535	163
904	1536	161
905	1538	159
906	1540	157
907	1541	156
908	1543	154
909	1545	152
910	1547	151
911	1549	149
912	1551	147
913	1552	146
914	1553	144
915	1554	142
916	1555	140
917	1557	139
918	1559	137
919	1562	135
920	1564	134
921	1565	132
922	1566	130
923	1567	128
924	1569	127
925	1570	125
926	1572	123
927	1574	122
928	1576	120
929	1578	118
930	1579	117
931	1581	115
932	1583	113
933	1585	112
934	1587	110
935	1588	108
936	1590	106
937	1591	105
938	1592	103
939	1593	101
940	1596	100
941	1598	98
942	1600	96
943	1601	95
944	1602	93
945	1603	91
946	1604	89
947	1606	88
948	1608	86
949	1610	84
950	1612	83
951	1614	81
952	1615	79
953	1616	77
954	1618	76
955	1620	74
956	1622	72
957	1624	71
958	1626	69
959	1627	67
960	1628	66
961	1629	64
962	1631	62
963	1634	61
964	1636	59
965	1638	57
966	1639	55
967	1640	54
968	1641	52
969	1642	50
970	1644	49
971	1646	47
972	1648	45
973	1650	44
974	1652	42
975	1653	40
976	1654	38
977	1656	37
978	1658	35
979	1660	33
980	1662	32
981	1663	30
982	1664	28
983	1665	27
984	1667	25
985	1669	23
986	1671	22
987	1673	20
988	1675	18
989	1676	16
990	1677	15
991	1678	13
992	1681	11
993	1683	10
994	1685	8
995	1687	6
996	1688	5
997	1690	3
998	1691	1
999	1693	0
